onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
8.002	2.3726	client_1	14.1875	-4.7188	accept	0	-0.3846
12.752	2.3726	client_2	-9.8125	-2.7188	reject	0	-0.3576
17.752	2.3726	client_2	-13.8125	1.2812	reject	0	-0.4316
24.252	2.3726	client_1	-1.8125	-2.7188	accept	0	0.6734
29.252	2.3726	client_1	-1.8125	-6.7188	accept	0	0.4844
39.502	2.3726	client_1	10.1875	7.2812	accept	0	-0.6316
47.002	2.3726	client_2	-13.8125	-6.7188	reject	0	-0.3736
53.002	2.3726	client_2	-1.8125	-4.7188	reject	0	-0.0046
60.752	2.3726	client_1	6.1875	-6.7188	n/a	1	1.1274
70.752	2.3726	client_1	6.1875	-0.7188	accept	0	0.0464
76.502	2.3726	client_2	14.1875	-6.7188	reject	0	0.2124
82.002	2.3726	client_1	2.1875	-4.7188	accept	0	1.0714
91.252	2.3726	client_2	-5.8125	-2.7188	reject	0	0.3944
95.752	2.3726	client_2	-1.8125	-6.7188	reject	0	0.3694
105.002	2.3726	client_2	2.1875	-6.7188	reject	0	0.8464
113.002	2.3726	client_1	-5.8125	7.2812	accept	0	-0.5156
120.002	2.3726	client_1	-13.8125	-0.7188	reject	0	-0.4146
124.752	2.3726	client_1	-1.8125	3.2812	accept	0	-0.1026
131.002	2.3726	client_2	-1.8125	5.2812	accept	0	-0.5576
135.752	2.3726	client_1	2.1875	1.2812	accept	0	-0.3836
142.252	2.3726	client_2	10.1875	3.2812	accept	0	-0.2866
147.752	2.3726	client_1	-13.8125	5.2812	reject	0	0.4244
152.752	2.3726	client_2	2.1875	5.2812	accept	0	0.0264
157.252	2.3726	client_2	14.1875	7.2812	accept	0	-0.7156
162.252	2.3726	client_2	14.1875	-4.7188	n/a	1	1.1274
167.502	2.3726	client_1	10.1875	5.2812	accept	0	-0.2216
172.002	2.3726	client_2	2.1875	-4.7188	reject	0	1.0374
176.752	2.3726	client_1	-13.8125	-2.7188	reject	0	-0.2426
181.502	2.3726	client_2	-5.8125	1.2812	reject	0	0.3304
188.502	2.3726	client_1	10.1875	-6.7188	accept	0	0.7314
196.252	2.3726	client_2	-9.8125	-0.7188	reject	0	0.4594
201.002	2.3726	client_2	6.1875	1.2812	accept	0	0.1604
205.752	2.3726	client_2	14.1875	3.2812	accept	0	-0.3476
211.252	2.3726	client_1	2.1875	-2.7188	accept	0	0.2974
219.252	2.3726	client_2	2.1875	-2.7188	reject	0	1.1104
227.002	2.3726	client_1	-13.8125	-6.7188	reject	0	-0.4006
232.002	2.3726	client_1	-13.8125	3.2812	reject	0	-0.0086
237.752	2.3726	client_1	14.1875	7.2812	accept	0	-0.6706
243.002	2.3726	client_1	2.1875	3.2812	accept	0	-0.4876
253.252	2.3726	client_2	6.1875	-0.7188	accept	0	0.2864
263.252	2.3726	client_2	-13.8125	5.2812	reject	0	0.8824
274.252	2.3726	client_2	6.1875	3.2812	accept	0	0.0394
284.252	2.3726	client_1	14.1875	-2.7188	accept	0	-0.4286
288.752	2.3726	client_2	2.1875	-0.7188	accept	0	0.8384
293.252	2.3726	client_1	-9.8125	7.2812	accept	0	-0.5016
301.002	2.3726	client_1	-5.8125	-0.7188	accept	0	0.1714
306.502	2.3726	client_2	6.1875	-6.7188	n/a	1	1.1274
311.752	2.3726	client_1	-5.8125	5.2812	accept	0	-0.7126
316.502	2.3726	client_2	-9.8125	1.2812	reject	0	-0.0026
323.752	2.3726	client_2	-5.8125	7.2812	accept	0	-0.6636
328.502	2.3726	client_2	6.1875	7.2812	accept	0	-0.7266
334.002	2.3726	client_2	10.1875	-0.7188	accept	0	0.5044
342.002	2.3726	client_2	-1.8125	3.2812	accept	0	-0.1686
349.502	2.3726	client_1	2.1875	-0.7188	accept	0	-0.1606
354.752	2.3726	client_1	-9.8125	-2.7188	reject	0	-0.6136
360.002	2.3726	client_1	-13.8125	1.2812	reject	0	-0.6796
368.252	2.3726	client_1	-5.8125	1.2812	accept	0	0.1974
375.502	2.3726	client_1	6.1875	-4.7188	n/a	1	1.1274
385.752	2.3726	client_2	6.1875	-4.7188	accept	0	0.3674
391.002	2.3726	client_2	-9.8125	3.2812	reject	0	0.1994
396.502	2.3726	client_2	10.1875	5.2812	accept	0	-0.4616
402.252	2.3726	client_1	-9.8125	1.2812	reject	0	-0.0206
406.752	2.3726	client_1	-1.8125	-4.7188	accept	0	1.0434
412.502	2.3726	client_1	10.1875	1.2812	accept	0	-0.5276
