onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.753	2.905	0.126	0	-19.0625	6.9375	client_2	reject	positive
8.002	2.905	-0.115	0	-13.0625	11.9375	client_2	accept	negative
14.252	2.905	0.176	0	-10.0625	-1.0625	client_1	reject	positive
21.502	2.905	0.058	0	11.9375	4.9375	client_2	accept	positive
28.752	2.905	-0.053	0	8.9375	-31.0625	client_1	reject	positive
36.252	2.905	-0.122	0	-22.0625	14.9375	client_1	accept	positive
42.752	2.905	0.12	0	14.9375	0.9375	client_2	accept	negative
55.252	2.905	-0.033	0	27.9375	-2.0625	client_2	accept	positive
61.752	2.905	0.209	0	-5.0625	13.9375	client_2	accept	positive
73.752	2.905	-0.213	0	11.9375	-16.0625	client_1	accept	positive
82.252	2.905	0.15	0	0.9375	-6.0625	client_1	accept	positive
88.002	2.905	-0.146	0	-10.0625	15.9375	client_2	accept	positive
95.502	2.905	-0.183	0	-7.0625	-4.0625	client_1	reject	positive
104.252	2.905	-0.032	0	-14.0625	-8.0625	client_1	reject	positive
112.252	2.905	0.004	0	13.9375	-23.0625	client_1	reject	positive
118.752	2.905	-0.14	0	-6.0625	14.9375	client_2	accept	positive
127.252	2.905	0.159	0	12.9375	6.9375	client_2	accept	positive
135.002	2.905	0.052	0	-11.0625	-0.0625	client_1	reject	positive
141.252	2.905	0.313	0	8.9375	-31.0625	client_2	reject	positive
152.752	2.905	-0.099	0	-10.0625	12.9375	client_2	accept	positive
162.252	2.905	-0.103	0	-1.0625	12.9375	client_2	accept	positive
169.752	2.905	0.046	0	-9.0625	-13.0625	client_1	reject	positive
176.502	2.905	-0.036	0	-15.0625	8.9375	client_1	reject	negative
186.002	2.905	-0.162	0	-2.0625	-3.0625	client_1	accept	positive
192.002	2.905	0.019	0	-6.0625	-5.0625	client_1	reject	positive
200.002	2.905	0.102	0	25.9375	-1.0625	client_2	reject	negative
212.502	2.905	-0.286	0	0.9375	6.9375	client_1	accept	positive
218.252	2.905	-0.115	0	-6.0625	11.9375	client_2	accept	positive
223.752	2.905	-0.106	0	-19.0625	6.9375	client_1	reject	positive
229.502	2.905	0.201	0	-20.0625	-2.0625	client_1	reject	positive
240.252	2.905	0.024	0	5.9375	-28.0625	client_1	reject	positive
250.252	2.905	-0.113	0	-18.0625	-4.0625	client_1	reject	positive
257.502	2.905	-0.005	0	28.9375	-2.0625	client_2	accept	positive
266.252	2.905	-0.031	0	-20.0625	7.9375	client_2	reject	positive
272.502	2.905	0.035	0	13.9375	3.9375	client_1	accept	positive
280.502	2.905	0.251	0	1.9375	5.9375	client_2	reject	positive
287.502	2.905	0.298	0	6.9375	-29.0625	client_2	reject	positive
294.003	2.905	0.003	0	25.9375	-3.0625	client_2	accept	negative
303.752	2.905	-0.158	0	-5.0625	8.9375	client_2	accept	negative
310.252	2.905	0.132	0	-4.0625	-1.0625	client_1	accept	positive
320.752	2.905	-0.09	0	-15.0625	17.9375	client_2	accept	positive
330.752	2.905	0.051	0	4.9375	-9.0625	client_2	reject	positive
338.252	2.905	-0.061	0	-12.0625	11.9375	client_2	accept	negative
345.003	2.905	-0.041	0	1.9375	-7.0625	client_2	reject	positive
350.752	2.905	0.037	0	17.9375	-0.0625	client_1	accept	positive
358.252	2.905	-0.072	0	6.9375	9.9375	client_1	accept	positive
364.502	2.905	0.042	0	21.9375	0.9375	client_1	accept	positive
370.252	2.905	-0.095	0	3.9375	10.9375	client_1	accept	positive
