onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
2.252	3.2798	0.4392	0	-11.1042	-10.75	client_1	accept	negative
7.752	3.2798	-0.5178	0	-15.1042	9.25	client_1	reject	negative
14.502	3.2798	0.4382	0	3.8958	-25.75	client_1	reject	positive
26.002	3.2798	-0.4788	0	3.8958	8.25	client_2	accept	positive
34.752	3.2798	-0.5488	0	-14.1042	19.25	client_2	accept	positive
43.502	3.2798	-0.1108	0	9.8958	6.25	client_2	accept	positive
49.002	3.2798	0.2812	0	-6.1042	1.25	client_1	accept	positive
54.502	3.2798	-0.0838	0	11.8958	8.25	client_1	accept	positive
61.752	3.2798	-0.2618	0	-3.1042	9.25	client_2	accept	negative
71.752	3.2798	0.0682	0	-13.1042	-8.75	client_1	reject	positive
81.002	3.2798	0.1952	0	-23.1042	10.25	client_1	reject	positive
87.752	3.2798	0.1712	0	24.8958	0.25	client_1	accept	positive
94.502	3.2798	-0.3488	0	3.8958	6.25	client_1	accept	positive
103.502	3.2798	1.1632	0	1.8958	-11.75	client_1	reject	positive
111.002	3.2798	-0.2848	0	-2.1042	14.25	client_2	accept	positive
118.752	3.2798	-0.2888	0	-8.1042	11.25	client_2	accept	negative
124.502	3.2798	-0.1838	0	10.8958	-14.75	client_2	accept	negative
132.752	3.2798	-0.2968	0	-21.1042	9.25	client_2	reject	positive
139.252	3.2798	0.0052	0	-10.1042	-11.75	client_2	reject	positive
146.252	3.2798	-0.4408	0	-6.1042	15.25	client_2	accept	positive
153.252	3.2798	-0.3458	0	-8.1042	-2.75	client_1	reject	positive
159.752	3.2798	0.2252	0	8.8958	6.25	client_2	accept	positive
167.502	3.2798	-0.0958	0	3.8958	6.25	client_2	accept	negative
176.252	3.2798	-0.5058	0	-16.1042	19.25	client_2	accept	positive
183.502	3.2798	0.1492	0	5.8958	-15.75	client_2	reject	positive
192.252	3.2798	-0.1088	0	-20.1042	-1.75	client_1	reject	positive
199.502	3.2798	0.2882	0	19.8958	2.25	client_2	accept	positive
205.502	3.2798	-0.0378	0	26.8958	-2.75	client_2	accept	negative
213.252	3.2798	-0.0498	0	-5.1042	-16.75	client_1	reject	positive
219.502	3.2798	-0.0198	0	11.8958	-20.75	client_1	reject	positive
225.002	3.2798	0.5482	0	-9.1042	3.25	client_1	accept	positive
231.502	3.2798	0.0642	0	13.8958	2.25	client_1	accept	positive
238.752	3.2798	-0.1478	0	-13.1042	13.25	client_2	accept	negative
247.002	3.2798	0.1152	0	15.8958	4.25	client_1	accept	positive
259.502	3.2798	0.2222	0	-1.1042	-20.75	client_1	reject	positive
265.502	3.2798	-0.1038	0	-3.1042	14.25	client_2	accept	positive
272.752	3.2798	0.2442	0	14.8958	-17.75	client_1	accept	positive
281.252	3.2798	0.0052	0	-1.1042	-8.75	client_1	reject	positive
287.752	3.2798	0.0062	0	7.8958	10.25	client_1	accept	positive
296.752	3.2798	-0.1098	0	9.8958	-13.75	client_1	accept	positive
303.002	3.2798	0.2762	0	1.8958	-23.75	client_2	reject	positive
311.002	3.2798	0.5872	0	13.8958	-22.75	client_1	reject	positive
317.752	3.2798	0.1762	0	-3.1042	11.25	client_2	accept	positive
327.252	3.2798	0.6142	0	12.8958	-15.75	client_1	accept	positive
336.002	3.2798	-0.3198	0	1.8958	9.25	client_2	accept	positive
341.752	3.2798	-0.3178	0	-12.1042	18.25	client_2	accept	positive
349.252	3.2798	-0.2608	0	2.8958	6.25	client_2	accept	negative
356.002	3.2798	-0.0138	0	-19.1042	12.25	client_2	accept	negative
